"WHSE","YEAR","MONTH","WEEK","DATE","DEPT_WORKED","CORE_PROCESS","SKU_CLASS","STD_TIME","ACTUAL_TIME","INDIRECT_TIME","ONSTD_TIME","WEIGHT","CUBE","CARTONS","PALLET","LINES","TRAILER_CHURN","EFF","WEIGHT_PH","CUBE_PH","CARTONS_PH","PALLET_PH","LINES_PH","TRAILER_PH","CUBE_PER_LINE","CUBE_PER_TRAILER"
5,22,4,16,2022-04-21,"INBOUND","RECEIVING","OFFSHORE",167.6,237.72,10.5,206.95,238460.37,20595.24,31542.52,15997.5,8075.5,5,80.99,1003.11,86.64,132.69,67.3,33.97,0.02,2.55,4119.05
5,22,4,16,2022-04-21,"INBOUND","RECEIVING","DOMESTIC",92.75,86.07,0.57,74.95,160983.58,9796.38,9379,2812.5,329,4,123.75,1870.38,113.82,108.97,32.68,3.82,0.05,29.78,2449.09
5,22,4,17,2022-04-22,"INBOUND","RECEIVING","OFFSHORE",183.36,253.9,17.08,221.03,317940.97,23870.35,39967.67,17356,9033,13,82.96,1252.23,94.01,157.42,68.36,35.58,0.05,2.64,1836.18
5,22,4,17,2022-04-22,"INBOUND","RECEIVING","DOMESTIC",112.48,139.55,10.9,120.83,158296.29,12513.96,10882.67,3487,695,5,93.09,1134.33,89.67,77.98,24.99,4.98,0.04,18.01,2502.79
5,22,4,17,2022-04-23,"INBOUND","RECEIVING","OFFSHORE",245.6,306.98,10.98,263.72,321329.28,28466.77,36964.46,21947,12982,11,93.13,1046.74,92.73,120.41,71.49,42.29,0.04,2.19,2587.89
5,22,4,17,2022-04-23,"INBOUND","RECEIVING","DOMESTIC",81.95,77.57,0.2,69.3,77548.7,7727.6,10522.5,1335,334.5,5,118.25,999.73,99.62,135.65,17.21,4.31,0.06,23.1,1545.52
5,22,4,17,2022-04-24,"INBOUND","RECEIVING","OFFSHORE",184.36,326.65,6.6,283.75,286728.69,23047.87,36908.41,15830,8926,11,64.97,877.79,70.56,112.99,48.46,27.33,0.03,2.58,2095.26
5,22,4,17,2022-04-24,"INBOUND","RECEIVING","DOMESTIC",49.33,55.5,0.73,47.88,119356.49,6167.96,8505.88,1420,308,9,103.03,2150.57,111.13,153.26,25.59,5.55,0.16,20.03,685.33
5,22,4,17,2022-04-25,"INBOUND","RECEIVING","OFFSHORE",183.48,321.8,7.15,275.65,274646.6,22211.65,29658.41,19655.5,10105.5,8,66.56,853.47,69.02,92.16,61.08,31.4,0.02,2.2,2776.46
5,22,4,17,2022-04-25,"INBOUND","RECEIVING","DOMESTIC",68.04,106.63,0.83,89.5,195070.15,9656.19,8359,2701,503,5,76.02,1829.41,90.56,78.39,25.33,4.72,0.05,19.2,1931.24
5,22,4,17,2022-04-26,"INBOUND","RECEIVING","OFFSHORE",118.08,180.12,12.22,153.22,221968.69,15915.87,22449.07,10879,5848,7,77.07,1232.34,88.36,124.63,60.4,32.47,0.04,2.72,2273.7
5,22,4,17,2022-04-26,"INBOUND","RECEIVING","DOMESTIC",85.35,97.3,0.98,85.88,126533.81,9807.38,7681.99,2150,450,5,99.38,1300.45,100.8,78.95,22.1,4.62,0.05,21.79,1961.48
5,22,4,17,2022-04-27,"INBOUND","RECEIVING","OFFSHORE",130.08,167.5,9.52,146.35,200348.06,17003.57,19981.04,12276,6264,11,88.88,1196.11,101.51,119.29,73.29,37.4,0.07,2.71,1545.78
5,22,4,17,2022-04-27,"INBOUND","RECEIVING","DOMESTIC",44,67.22,3.1,57.72,96513.61,6987.06,6545,2055,270,2,76.23,1435.79,103.94,97.37,30.57,4.02,0.03,25.88,3493.53
5,22,4,17,2022-04-28,"INBOUND","RECEIVING","OFFSHORE",200.92,357.92,20.32,307.47,319032.86,28943.08,38636.41,22031,11856,7,65.35,891.35,80.86,107.95,61.55,33.12,0.02,2.44,4134.73
5,22,4,17,2022-04-28,"INBOUND","RECEIVING","DOMESTIC",113.18,132.72,3.35,118.32,128303.26,13320.55,6908.75,3050,539,4,95.66,966.72,100.37,52.06,22.98,4.06,0.03,24.71,3330.14
5,22,4,18,2022-04-29,"INBOUND","RECEIVING","OFFSHORE",170.57,254.07,22.9,219.75,334167.64,25678.17,32601.76,17324,7539,8,77.62,1315.26,101.07,128.32,68.19,29.67,0.03,3.41,3209.77
5,22,4,18,2022-04-29,"INBOUND","RECEIVING","DOMESTIC",123.31,142.93,3.8,125.12,178553.57,12231.56,12359,2417,487,5,98.55,1249.24,85.58,86.47,16.91,3.41,0.03,25.12,2446.31
5,22,4,18,2022-04-30,"INBOUND","RECEIVING","OFFSHORE",205.19,310.17,10.13,269.13,325048.61,21341.3,33763.1,16429.5,9483.5,6,76.24,1047.97,68.81,108.85,52.97,30.58,0.02,2.25,3556.88
5,22,4,18,2022-04-30,"INBOUND","RECEIVING","DOMESTIC",100.53,152.48,4,130.63,153401.56,12747.01,10968.43,2711,503,5,76.96,1006.04,83.6,71.93,17.78,3.3,0.03,25.34,2549.4
5,22,5,18,2022-05-01,"INBOUND","RECEIVING","OFFSHORE",173.39,310.35,2.92,269.17,269812.65,19986.16,29065.58,20571.5,13123.5,6,64.42,869.38,64.4,93.65,66.28,42.29,0.02,1.52,3331.03
5,22,5,18,2022-05-01,"INBOUND","RECEIVING","DOMESTIC",43.31,72.48,0.53,63.85,94528.99,6831.59,5094,1301,214,11,67.83,1304.21,94.25,70.28,17.95,2.95,0.15,31.92,621.05
