"WHSE","YEAR","MONTH","WEEK","DATE","DEPT_WORKED","CORE_PROCESS","SHIFT_TYPE","SKU_CLASS","STD_TIME","ACTUAL_TIME","INDIRECT_TIME","ONSTD_TIME","WEIGHT","CUBE","CARTONS","PALLET","LINES","TRAILER_CHURN","EFF","WEIGHT_PH","CUBE_PH","CARTONS_PH","PALLET_PH","LINES_PH","TRAILER_PH","CUBE_PER_LINE","CUBE_PER_TRAILER"
5,22,3,9,2022-03-01,"INBOUND","RECEIVING","DAYS","OFFSHORE",51.72,75.43,6.7,65.1,90604.16,6092.82,9259.07,8398,4816,19,79.45,1201.17,80.77,122.75,111.34,63.85,0.25,1.27,320.67
5,22,3,9,2022-03-01,"INBOUND","RECEIVING","DAYS","DOMESTIC",13.04,6.52,1.8,5.78,18460.7,2605.34,1156,581,51,8,225.61,2831.4,399.59,177.3,89.11,7.82,1.23,51.09,325.67
5,22,3,9,2022-03-01,"INBOUND","RECEIVING","AFTS","OFFSHORE",112.86,170.5,3.95,147.03,166537.08,11494.36,19658.89,7851.33,4275,8,76.76,976.76,67.42,115.3,46.05,25.07,0.05,2.69,1436.8
5,22,3,9,2022-03-01,"INBOUND","RECEIVING","AFTS","DOMESTIC",36.91,34.03,0,29.93,43179.33,2890.79,2905,341.5,101,8,123.32,1268.86,84.95,85.37,10.04,2.97,0.24,28.62,361.35
5,22,3,9,2022-03-02,"INBOUND","RECEIVING","DAYS","OFFSHORE",85.19,162.75,0,138.5,145806.39,10942.42,15013.54,10115,5561,37,61.51,895.89,67.23,92.25,62.15,34.17,0.23,1.97,295.74
5,22,3,9,2022-03-02,"INBOUND","RECEIVING","DAYS","DOMESTIC",20.83,29.57,0,26.98,46752.3,5168.99,2762,1861,125,16,77.21,1581.07,174.81,93.41,62.94,4.23,0.54,41.35,323.06
5,22,3,9,2022-03-02,"INBOUND","RECEIVING","AFTS","OFFSHORE",97.6,133.42,3.82,116.48,150318.26,11629.12,16899.55,6947,3752.5,15,83.79,1126.65,87.16,126.66,52.07,28.13,0.11,3.1,775.27
5,22,3,9,2022-03-02,"INBOUND","RECEIVING","AFTS","DOMESTIC",30.62,44.88,1.85,38.6,69210.8,4050.22,4021,1061.5,345.5,6,79.33,1542.13,90.25,89.59,23.65,7.7,0.13,11.72,675.04
5,22,3,9,2022-03-03,"INBOUND","RECEIVING","DAYS","OFFSHORE",96.88,178.08,0,153.2,180259.46,12253.09,19294.93,13087,6364,38,63.24,1012.24,68.81,108.35,73.49,35.74,0.21,1.93,322.45
5,22,3,9,2022-03-03,"INBOUND","RECEIVING","DAYS","DOMESTIC",65.09,63.52,0,55.02,123098.53,9475.03,8699,2926,324,26,118.3,1937.95,149.17,136.95,46.06,5.1,0.41,29.24,364.42
5,22,3,9,2022-03-03,"INBOUND","RECEIVING","AFTS","OFFSHORE",72.58,124.73,13.28,109.13,78995.38,7522.51,9906.71,5216,3577,8,66.51,633.33,60.31,79.43,41.82,28.68,0.06,2.1,940.31
5,22,3,9,2022-03-03,"INBOUND","RECEIVING","AFTS","DOMESTIC",32.29,62.02,1.72,51.43,45621.7,5113.51,3629.5,623,135,4,62.78,735.6,82.45,58.52,10.05,2.18,0.06,37.88,1278.38
5,22,3,10,2022-03-04,"INBOUND","RECEIVING","DAYS","OFFSHORE",56.04,49.8,6.5,41.85,91927.41,9063.08,10837.78,6903,3150,30,133.91,1845.93,181.99,217.63,138.61,63.25,0.6,2.88,302.1
5,22,3,10,2022-03-04,"INBOUND","RECEIVING","DAYS","DOMESTIC",36.6,30.93,1.5,27.88,95606.28,6704.83,4697.58,2113,358,17,131.28,3091.05,216.77,151.88,68.32,11.57,0.55,18.73,394.4
5,22,3,10,2022-03-04,"INBOUND","RECEIVING","AFTS","OFFSHORE",115.7,195.58,12.55,170.98,181514.27,12775.05,16553.29,5767.67,2826.33,6,67.67,928.08,65.32,84.64,29.49,14.45,0.03,4.52,2129.17
5,22,3,10,2022-03-04,"INBOUND","RECEIVING","AFTS","DOMESTIC",30.61,47.82,2.03,39.87,99983.15,5517.81,6726,364.5,146,5,76.77,2090.82,115.39,140.65,7.62,3.05,0.1,37.79,1103.56
5,22,3,10,2022-03-05,"INBOUND","RECEIVING","DAYS","OFFSHORE",81.85,130.7,2.78,112.87,147090.43,13759.09,13349.53,7113,2342,35,72.52,1125.4,105.27,102.14,54.42,17.92,0.27,5.87,393.12
5,22,3,10,2022-03-05,"INBOUND","RECEIVING","DAYS","DOMESTIC",22.27,26.77,3.72,23.1,33092.58,2872.47,3301,516,138,13,96.41,1236.18,107.3,123.31,19.28,5.16,0.49,20.81,220.96
5,22,3,10,2022-03-05,"INBOUND","RECEIVING","AFTS","OFFSHORE",113.39,186.17,10.08,165.42,203603.95,14233.34,21398.55,7923.5,3109,9,68.55,1093.65,76.45,114.94,42.56,16.7,0.05,4.58,1581.48
5,22,3,10,2022-03-05,"INBOUND","RECEIVING","AFTS","DOMESTIC",45.64,63.85,1.37,53.73,177714.77,7929.69,7691,1752,512,8,84.94,2783.32,124.19,120.45,27.44,8.02,0.13,15.49,991.21
5,22,3,10,2022-03-06,"INBOUND","RECEIVING","DAYS","OFFSHORE",90.42,90.7,3.33,78.68,202936.32,15385.27,20562.66,9903.33,4967.33,13,114.92,2237.45,169.63,226.71,109.19,54.77,0.14,3.1,1183.48
5,22,3,10,2022-03-06,"INBOUND","RECEIVING","DAYS","DOMESTIC",30.93,29.82,0.53,25.62,126904.3,7297.62,6930,1092,229,28,120.73,4255.68,244.72,232.39,36.62,7.68,0.94,31.87,260.63
5,22,3,10,2022-03-06,"INBOUND","RECEIVING","AFTS","OFFSHORE",159.1,200,1.73,171.78,206190.45,17466.36,21813.33,19546.33,12872.67,12,92.62,1030.95,87.33,109.07,97.73,64.36,0.06,1.36,1455.53
5,22,3,10,2022-03-06,"INBOUND","RECEIVING","AFTS","DOMESTIC",43.92,51.82,0,45.33,165333.28,6653.91,8619,1264,349,11,96.89,3190.53,128.4,166.33,24.39,6.73,0.21,19.07,604.9
5,22,3,10,2022-03-07,"INBOUND","RECEIVING","DAYS","OFFSHORE",66.55,64.68,11.75,55.67,144013.38,9781.17,17293.47,8901,4462,27,119.54,2226.55,151.22,267.37,137.62,68.99,0.42,2.19,362.27
