"term","estimate","std.error","statistic","p.value"
"(Intercept)",1.13071992456737,0.06250624808173,18.0897103772555,4.27820918356255e-70
"CUBE",0.00258320338666862,0.000249409021167241,10.3572973205988,8.57186413233197e-25
"CARTONS",0.00209829787400081,0.0001212899936851,17.2998432125285,1.72136239789101e-64
"PALLET",0.11562110426473,0.0117118716546827,9.87212869759391,1.06076720979493e-22
"LINES",0.0389344301915909,0.015375756804304,2.53219602047116,0.0113769599594966
"CUBE_PH",0.00160887934487807,0.000414194304366487,3.88435892989611,0.000104432332050631
"CARTONS_PH",-0.00121826060615158,0.000223999129312844,-5.43868456046595,5.722626709724e-08
"PALLET_PH",-0.0788421962141412,0.0214464584954591,-3.67623382810895,0.000240133619469919
"LINES_PH",0.00252917254484805,0.0210680089591181,0.120048009745764,0.904451773000375
