"term","estimate","std.error","statistic","p.value"
"(Intercept)",1.26236453008599,0.030710036100769,41.105927910465,0
"CUBE",0.00126641094673942,8.34754817590543e-05,15.1710528654967,1.40740311707377e-51
"CARTONS",0.000647068863543064,3.70872048809494e-05,17.4472264928071,1.85321644891258e-67
"PALLET",0.158149785504338,0.00427523104713818,36.9921025929588,6.17469199156172e-286
"LINES",-0.000307714058712364,0.00497872515126859,-0.0618057935240626,0.950718368192519
"CUBE_PH",1.90561161364366e-05,2.19347608645632e-05,0.868763341168801,0.384991415969933
"CARTONS_PH",-0.000104284552285251,3.89958693474517e-05,-2.67424611966153,0.0074984052277289
"PALLET_PH",-0.0241672689007292,0.00249241003553554,-9.69634552748719,3.66632561348249e-22
"LINES_PH",-0.0812328192800318,0.00503379479110317,-16.1374912270171,4.61881053284922e-58
